2	3e-05
5	1.6e-05
8	1.9e-05
11	2.4e-05
14	2.6e-05
17	2.9e-05
20	3e-05
23	3.3e-05
26	3.4e-05
29	3.6e-05
32	3.9e-05
35	4.3e-05
38	4.4e-05
41	4.5e-05
44	4.6e-05
47	5e-05
50	5.3e-05
53	5.4e-05
56	5.5e-05
59	6.6e-05
62	6.3e-05
65	6.7e-05
68	6.9e-05
71	7.1e-05
74	7.1e-05
77	7.1e-05
80	7.3e-05
83	7.6e-05
86	7.9e-05
89	7.9e-05
92	8.2e-05
95	8.3e-05
98	8.5e-05
101	8.6e-05
104	8.9e-05
107	9.1e-05
110	0.000103
113	0.00012
116	9.8e-05
119	0.000107
122	8.5e-05
125	7.4e-05
128	7.6e-05
131	7.7e-05
134	8e-05
137	8.7e-05
140	0.000102
143	8.9e-05
146	8.4e-05
149	8.8e-05
152	9e-05
155	8.7e-05
158	8.7e-05
161	8.8e-05
164	8.9e-05
167	0.00011
170	0.000132
173	0.00014
176	0.000119
179	0.000116
182	0.000119
185	0.000119
188	0.000122
191	8.4e-05
194	7.2e-05
197	8.3e-05
200	7.6e-05
203	7.4e-05
206	7.7e-05
209	7.9e-05
212	7.9e-05
215	8.4e-05
218	7.9e-05
221	8.2e-05
224	8.2e-05
227	8.2e-05
230	8.3e-05
233	8.9e-05
236	8.7e-05
239	9.1e-05
242	8.8e-05
245	0.000102
248	9e-05
251	9.1e-05
254	9.4e-05
257	9.4e-05
260	9.5e-05
263	9.6e-05
266	9.7e-05
269	9.7e-05
272	9.8e-05
275	0.000101
278	0.0001
281	0.0001
284	0.000103
287	0.000103
290	0.000104
293	0.000106
296	0.000105
299	0.000106
302	0.000111
305	0.000109
308	0.000109
311	0.000113
314	0.000111
317	0.000112
320	0.000132
323	0.000117
326	0.000115
329	0.000116
332	0.000116
335	0.000147
338	0.000125
341	0.000122
344	0.000122
347	0.000124
350	0.000142
353	0.000124
356	0.000127
359	0.000125
362	0.000126
365	0.000126
368	0.000127
371	0.000129
374	0.000136
377	0.000139
380	0.00013
383	0.00013
386	0.000132
389	0.000133
392	0.000133
395	0.000134
398	0.000136
401	0.000136
404	0.000137
407	0.000137
410	0.000138
413	0.00014
416	0.000141
419	0.000141
422	0.000141
425	0.000143
428	0.000143
431	0.000144
434	0.000145
437	0.000148
440	0.000148
443	0.000149
446	0.000149
449	0.000155
452	0.000152
455	0.000152
458	0.000155
461	0.000156
464	0.000154
467	0.000158
470	0.00016
473	0.000159
476	0.000161
479	0.00016
482	0.00017
485	0.000163
488	0.000165
491	0.000167
494	0.000186
497	0.000171
500	0.00017
503	0.00017
506	0.000171
509	0.00017
512	0.000173
515	0.000176
518	0.000177
521	0.000177
524	0.000176
527	0.000176
530	0.000179
533	0.000185
536	0.000181
539	0.000179
542	0.000183
545	0.000183
548	0.000183
551	0.000185
554	0.000185
557	0.000186
560	0.000186
563	0.000188
566	0.000187
569	0.00021
572	0.000198
575	0.000195
578	0.000193
581	0.000197
584	0.000198
587	0.000196
590	0.000196
593	0.000199
596	0.000199
599	0.000201
602	0.000203
605	0.000201
608	0.000202
611	0.000216
614	0.000224
617	0.000218
620	0.00023
623	0.000234
626	0.000221
629	0.000223
632	0.000303
635	0.000301
638	0.000308
641	0.000322
644	0.000374
647	0.000368
650	0.000367
653	0.000326
656	0.000338
659	0.000214
662	0.000215
665	0.000216
668	0.000217
671	0.00022
674	0.00022
677	0.000221
680	0.000222
683	0.000229
686	0.000226
689	0.000226
692	0.000224
695	0.000226
698	0.000225
701	0.000229
704	0.00023
707	0.000231
710	0.000233
713	0.000231
716	0.000237
719	0.000236
722	0.000235
725	0.000235
728	0.000237
731	0.000238
734	0.00024
737	0.000242
740	0.000242
743	0.000244
746	0.000243
749	0.000243
752	0.000243
755	0.000245
758	0.000246
761	0.000246
764	0.000246
767	0.00025
770	0.000249
773	0.000251
776	0.000261
779	0.000255
782	0.000254
785	0.000257
788	0.000255
791	0.000255
794	0.000267
797	0.000261
800	0.000452
803	0.000444
806	0.000483
809	0.000416
812	0.000441
815	0.00043
818	0.000431
821	0.000443
824	0.000433
827	0.000433
830	0.000406
833	0.000407
836	0.000401
839	0.00029
842	0.000284
845	0.000283
848	0.000286
851	0.000286
854	0.000286
857	0.000287
860	0.000296
863	0.000288
866	0.000317
869	0.000297
872	0.000294
875	0.000298
878	0.000322
881	0.000283
884	0.000286
887	0.000285
890	0.000282
893	0.000284
896	0.000286
899	0.000287
902	0.000294
905	0.000289
908	0.000288
911	0.000289
914	0.000291
917	0.000291
920	0.000291
923	0.000312
926	0.0003
929	0.000325
932	0.000346
935	0.000316
938	0.000344
941	0.000323
944	0.000431
947	0.000404
950	0.000311
953	0.000317
956	0.000334
959	0.000428
962	0.00043
965	0.000459
968	0.000406
971	0.000414
974	0.000418
977	0.000418
980	0.000417
983	0.000409
986	0.000423
989	0.000422
992	0.000422
995	0.000456
998	0.00034
